index,latency_ns,revision,revision_present,output_probe
0,85672,1005,True,-0.6450552940368652
1,84306,1006,True,-0.7227338552474976
2,83145,1007,True,-0.7925189733505249
3,82696,1008,True,-0.8568748235702515
4,84116,1009,True,-0.9114580750465393
5,85143,1010,True,-0.9656143188476562
6,81720,1011,True,-1.0166444778442383
7,83097,1012,True,-1.0674688816070557
8,82403,1013,True,-1.1145856380462646
9,82313,1014,True,-1.1540170907974243
10,82889,1015,True,-1.1885720491409302
11,82529,1016,True,-1.2167845964431763
12,82560,1017,True,-1.242681860923767
13,82666,1018,True,-1.2677175998687744
14,81765,1019,True,-1.2885178327560425
15,82619,1020,True,-1.3059388399124146
16,85150,1021,True,-1.3188451528549194
17,82685,1022,True,-1.3303632736206055
18,82491,1023,True,-1.340039610862732
19,82797,1024,True,-1.3480418920516968
20,81766,1025,True,-1.3517463207244873
21,82481,1026,True,-1.3540152311325073
22,81889,1027,True,-1.3519519567489624
23,82720,1028,True,-1.345444679260254
24,82440,1029,True,-1.3378039598464966
25,82395,1030,True,-1.3292657136917114
26,82479,1031,True,-1.3176777362823486
27,82297,1032,True,-1.3030309677124023
28,82669,1033,True,-1.2819935083389282
29,82313,1034,True,-1.2562748193740845
30,82516,1035,True,-1.2276681661605835
31,82839,1036,True,-1.1929657459259033
32,82044,1037,True,-1.1496286392211914
33,82533,1038,True,-1.0950809717178345
34,81718,1039,True,-1.0278855562210083
35,82643,1040,True,-0.9542962312698364
36,82487,1041,True,-0.8665689826011658
37,85069,1042,True,-0.7609890699386597
38,82185,1043,True,-0.6263324022293091
39,82454,1044,True,-0.4613550007343292
40,82692,1045,True,-0.2747792899608612
41,82889,1046,True,-0.08334271609783173
42,82135,1047,True,0.09975647181272507
43,83193,1048,True,0.27296188473701477
44,82227,1049,True,0.4357767403125763
45,48291368,1050,True,-0.24028226733207703
46,397474,1051,True,-0.30693739652633667
47,86472,1052,True,-0.3863624334335327
48,84761,1053,True,-0.4736209511756897
49,84159,1054,True,-0.5607803463935852
50,84318,1055,True,-0.6450552940368652
51,84359,1056,True,-0.7227338552474976
52,84116,1057,True,-0.7925189733505249
53,84720,1058,True,-0.8568748235702515
54,83635,1059,True,-0.9114580750465393
55,83338,1060,True,-0.9656143188476562
56,84075,1061,True,-1.0166444778442383
57,83117,1062,True,-1.0674688816070557
58,83232,1063,True,-1.1145856380462646
59,84108,1064,True,-1.1540170907974243
60,83947,1065,True,-1.1885720491409302
61,82810,1066,True,-1.2167845964431763
62,83574,1067,True,-1.242681860923767
63,83639,1068,True,-1.2677175998687744
64,86883,1069,True,-1.2885178327560425
65,83528,1070,True,-1.3059388399124146
66,83769,1071,True,-1.3188451528549194
67,83553,1072,True,-1.3303632736206055
68,84001,1073,True,-1.340039610862732
69,82346,1074,True,-1.3480418920516968
70,83493,1075,True,-1.3517463207244873
71,83898,1076,True,-1.3540152311325073
72,83793,1077,True,-1.3519519567489624
73,83070,1078,True,-1.345444679260254
74,84020,1079,True,-1.3378039598464966
75,83840,1080,True,-1.3292657136917114
76,84226,1081,True,-1.3176777362823486
77,83164,1082,True,-1.3030309677124023
78,82697,1083,True,-1.2819935083389282
79,83668,1084,True,-1.2562748193740845
80,88214,1085,True,-1.2276681661605835
81,83391,1086,True,-1.1929657459259033
82,83058,1087,True,-1.1496286392211914
83,83745,1088,True,-1.0950809717178345
84,83929,1089,True,-1.0278855562210083
85,85271,1090,True,-0.9542962312698364
86,83959,1091,True,-0.8665689826011658
87,83233,1092,True,-0.7609890699386597
88,84393,1093,True,-0.6263324022293091
89,82920,1094,True,-0.4613550007343292
90,83470,1095,True,-0.2747792899608612
91,83481,1096,True,-0.08334271609783173
92,84719,1097,True,0.09975647181272507
93,88437,1098,True,0.27296188473701477
94,83505,1099,True,0.4357767403125763
95,48206588,1100,True,-0.24028226733207703
96,90271,1101,True,-0.30693739652633667
97,85996,1102,True,-0.3863624334335327
98,84503,1103,True,-0.4736209511756897
99,83955,1104,True,-0.5607803463935852
