model,workload,path,processes,samples_per_process,mean_ms,mean_ci95_low_ms,mean_ci95_high_ms,process_mean_stddev_ms,p50_ms,p90_ms,p99_ms,initialization_mean_ms,first_run_mean_ms,maximum_rss_mib,maximum_cuda_mib
diffusiondrive,baseline,direct_artifact,5,30,16.662995193333334,16.635854526666666,16.686022846666667,0.030908733190829235,16.655967,17.240759,17.28566,1852.53666,203.1777062,1302.26171875,64.0
diffusiondrive,baseline,eager,5,30,19.45085552,19.413422166666667,19.487534059999998,0.04786648189956563,19.455562,19.758638,19.86348,2399.3673974000003,224.07973040000002,1757.8671875,324.0
diffusiondrive,baseline,generated_session,5,30,16.688208533333334,16.60869356,16.7738256,0.10927534771912371,16.711281,17.288314,17.349243,289.0880322,203.0336264,1027.78125,884.75
diffusiondrive,context_plus_0p01,direct_artifact,5,30,16.651974773333333,16.573740553333334,16.730208993333335,0.09989736777228583,16.640977,17.224087,17.298712,1853.3757438,203.76693319999998,1302.2265625,64.0
diffusiondrive,context_plus_0p01,eager,5,30,19.516160186666667,19.470384146666667,19.56448832666667,0.0607595401234869,19.49862,19.76832,20.247212,2405.846899,224.525451,1757.94921875,324.0
diffusiondrive,context_plus_0p01,generated_session,5,30,16.712590606666666,16.6413831,16.78146072,0.09285561970442598,16.693134,17.299736,17.771685,288.668685,203.184611,1027.75,884.75
diffusiondrive,noise_plus_1pct,direct_artifact,5,30,16.632811193333332,16.56765352,16.6923755,0.08106313058274521,16.645837,17.220455,17.292683,1854.2364092,203.7818234,1302.3515625,64.0
diffusiondrive,noise_plus_1pct,eager,5,30,19.461900513333333,19.417753986666668,19.50604704,0.058700735526447105,19.465453,19.717014,20.082429,2400.8981878000004,223.0783528,1757.94140625,324.0
diffusiondrive,noise_plus_1pct,generated_session,5,30,16.74278508,16.687310426666667,16.798259733333335,0.07057321245816957,16.718188,17.288712,17.374923,291.399156,204.60194959999998,1027.578125,884.75
diffusiondrive,observation_minus_1pct,direct_artifact,5,30,16.6261442,16.559349693333335,16.70238536,0.09065847488627,16.617084,17.19102,17.3068,1843.0476188,203.6570848,1302.31640625,64.0
diffusiondrive,observation_minus_1pct,eager,5,30,19.459972553333333,19.423149046666666,19.51788062,0.06559980519574087,19.441377,19.709173,19.940558,2409.783411,224.1614822,1757.92578125,324.0
diffusiondrive,observation_minus_1pct,generated_session,5,30,16.735470006666667,16.65076632,16.81636230666667,0.10924591292308602,16.714617,17.324922,17.374451,288.4954782,203.16591419999997,1027.80078125,884.75
diffusiondrive,observation_plus_1pct,direct_artifact,5,30,16.67819472,16.648652953333333,16.713034473333334,0.04149131026465115,16.648713,17.226481,17.526379,1849.1072022,203.039585,1302.484375,64.0
diffusiondrive,observation_plus_1pct,eager,5,30,19.46784531333333,19.43468644,19.500551773333335,0.03995921406525122,19.456,19.736674,19.922615,2403.4111528000003,223.3620818,1757.98046875,324.0
diffusiondrive,observation_plus_1pct,generated_session,5,30,16.796821073333334,16.729929939999998,16.835083620000002,0.07363585892891499,16.818478,17.293649,17.379115,289.8067264,203.1512822,1027.5703125,884.75
smolvla,baseline,direct_artifact,5,30,45.466197513333334,45.388318446666666,45.51664055333333,0.08903701605157019,45.173709,46.254694,48.116003,2425.763714,247.2838016,1925.56640625,50.0
smolvla,baseline,eager,5,30,113.19777449333334,111.95825845333333,114.5026408,1.6616748315229821,113.064437,115.4537,116.584918,6825.2758316,350.2155836,3849.9609375,954.0
smolvla,baseline,generated_session,5,30,45.75155266666666,45.6145856,45.884333700000006,0.17612854717259877,45.359152,46.488809,48.634235,889.9782626,254.37736980000003,1651.4375,1412.75
smolvla,context_plus_0p01,direct_artifact,5,30,45.51923901333333,45.453606979999996,45.562673966666665,0.07135133800769412,45.177103,46.29152,48.16465,2425.6708468,247.5979266,1925.76953125,50.0
smolvla,context_plus_0p01,eager,5,30,112.70670228,111.85471002666667,114.0012673,1.4202306685223853,112.271146,115.156727,115.624081,6805.2554356,342.52998360000004,3850.140625,954.0
smolvla,context_plus_0p01,generated_session,5,30,45.73747618,45.714818273333336,45.76013408666667,0.02905520970144162,45.44297,46.526535,48.566837,889.4450992000001,254.94293919999998,1651.65625,1412.75
smolvla,noise_plus_1pct,direct_artifact,5,30,45.5001611,45.48622196,45.51560755333333,0.019653418627146698,45.175674,46.342325,47.820499,2421.2090341999997,247.273066,1925.7578125,50.0
smolvla,noise_plus_1pct,eager,5,30,112.46957612666667,111.29265561333332,113.59342672666668,1.4678600789980807,112.358211,114.459242,115.273102,6796.4175534,357.3827462,3849.796875,954.0
smolvla,noise_plus_1pct,generated_session,5,30,45.71742924,45.63978508666666,45.78120706,0.09522290390904285,45.366962,46.729224,48.404898,888.4500968,254.9263752,1651.62890625,1412.75
smolvla,observation_minus_1pct,direct_artifact,5,30,45.51948406,45.433425506666666,45.60815748666666,0.11171531121162524,45.181739,46.296324,48.135356,2416.8863994000003,247.26574680000002,1925.4140625,50.0
smolvla,observation_minus_1pct,eager,5,30,113.8749948,111.58168813333334,115.94155541333333,2.5371562964685714,113.470995,116.998061,117.683068,6797.4014348,361.58583339999996,3849.87109375,954.0
smolvla,observation_minus_1pct,generated_session,5,30,45.715107,45.61825849333333,45.81207678,0.1275336333635903,45.432686,46.645068,48.2688,889.1548838,254.994823,1651.70703125,1412.75
smolvla,observation_plus_1pct,direct_artifact,5,30,45.51737400666667,45.39498457333333,45.68674080666666,0.19447222258317662,45.235045,46.294651,48.025693,2419.6437648,247.9325452,1925.42578125,50.0
smolvla,observation_plus_1pct,eager,5,30,111.44993320666666,110.42757936,112.54511898666667,1.392800868970967,111.212475,113.248649,114.403498,6846.7291068,343.8928958,3849.5078125,954.0
smolvla,observation_plus_1pct,generated_session,5,30,45.757036013333334,45.71995408,45.792513533333334,0.04669967114555747,45.290062,47.583838,48.270129,887.2926932,255.152327,1651.59765625,1412.75
