index,latency_ns,revision,revision_present,output_probe
0,86786,1010,True,-0.9656143188476562
1,82850,1011,True,-1.0166444778442383
2,82458,1012,True,-1.0674688816070557
3,82304,1013,True,-1.1145856380462646
4,82020,1014,True,-1.1540170907974243
5,81980,1015,True,-1.1885720491409302
6,81554,1016,True,-1.2167845964431763
7,82358,1017,True,-1.242681860923767
8,82175,1018,True,-1.2677175998687744
9,81986,1019,True,-1.2885178327560425
10,82107,1020,True,-1.3059388399124146
11,83621,1021,True,-1.3188451528549194
12,81274,1022,True,-1.3303632736206055
13,81648,1023,True,-1.340039610862732
14,82177,1024,True,-1.3480418920516968
15,81386,1025,True,-1.3517463207244873
16,81328,1026,True,-1.3540152311325073
17,81315,1027,True,-1.3519519567489624
18,81670,1028,True,-1.345444679260254
19,81445,1029,True,-1.3378039598464966
20,81307,1030,True,-1.3292657136917114
21,82117,1031,True,-1.3176777362823486
22,83188,1032,True,-1.3030309677124023
23,81695,1033,True,-1.2819935083389282
24,82256,1034,True,-1.2562748193740845
25,82094,1035,True,-1.2276681661605835
26,81607,1036,True,-1.1929657459259033
27,81649,1037,True,-1.1496286392211914
28,81620,1038,True,-1.0950809717178345
29,81140,1039,True,-1.0278855562210083
30,81565,1040,True,-0.9542962312698364
31,81467,1041,True,-0.8665689826011658
32,81841,1042,True,-0.7609890699386597
33,82626,1043,True,-0.6263324022293091
34,81898,1044,True,-0.4613550007343292
35,81227,1045,True,-0.2747792899608612
36,81958,1046,True,-0.08334271609783173
37,81580,1047,True,0.09975647181272507
38,82716,1048,True,0.27296188473701477
39,97579,1049,True,0.4357767403125763
40,48249116,1050,True,-0.24028226733207703
41,108786,1051,True,-0.30693739652633667
42,85908,1052,True,-0.3863624334335327
43,84578,1053,True,-0.4736209511756897
44,83369,1054,True,-0.5607803463935852
45,84342,1055,True,-0.6450552940368652
46,83319,1056,True,-0.7227338552474976
47,83532,1057,True,-0.7925189733505249
48,84591,1058,True,-0.8568748235702515
49,85727,1059,True,-0.9114580750465393
50,83779,1060,True,-0.9656143188476562
51,84912,1061,True,-1.0166444778442383
52,86718,1062,True,-1.0674688816070557
53,84203,1063,True,-1.1145856380462646
54,84138,1064,True,-1.1540170907974243
55,389562,1065,True,-1.1885720491409302
56,82567,1066,True,-1.2167845964431763
57,83147,1067,True,-1.242681860923767
58,82637,1068,True,-1.2677175998687744
59,84364,1069,True,-1.2885178327560425
60,83554,1070,True,-1.3059388399124146
61,83259,1071,True,-1.3188451528549194
62,82659,1072,True,-1.3303632736206055
63,83212,1073,True,-1.340039610862732
64,82742,1074,True,-1.3480418920516968
65,82523,1075,True,-1.3517463207244873
66,83187,1076,True,-1.3540152311325073
67,84567,1077,True,-1.3519519567489624
68,83608,1078,True,-1.345444679260254
69,83026,1079,True,-1.3378039598464966
70,85350,1080,True,-1.3292657136917114
71,83786,1081,True,-1.3176777362823486
72,82614,1082,True,-1.3030309677124023
73,83548,1083,True,-1.2819935083389282
74,82519,1084,True,-1.2562748193740845
75,83196,1085,True,-1.2276681661605835
76,82572,1086,True,-1.1929657459259033
77,83419,1087,True,-1.1496286392211914
78,83615,1088,True,-1.0950809717178345
79,83206,1089,True,-1.0278855562210083
80,83244,1090,True,-0.9542962312698364
81,85833,1091,True,-0.8665689826011658
82,83147,1092,True,-0.7609890699386597
83,83234,1093,True,-0.6263324022293091
84,83036,1094,True,-0.4613550007343292
85,83426,1095,True,-0.2747792899608612
86,82857,1096,True,-0.08334271609783173
87,84024,1097,True,0.09975647181272507
88,83283,1098,True,0.27296188473701477
89,83553,1099,True,0.4357767403125763
90,48126726,1100,True,-0.24028226733207703
91,92038,1101,True,-0.30693739652633667
92,85623,1102,True,-0.3863624334335327
93,83014,1103,True,-0.4736209511756897
94,83081,1104,True,-0.5607803463935852
95,83733,1105,True,-0.6450552940368652
96,83819,1106,True,-0.7227338552474976
97,83182,1107,True,-0.7925189733505249
98,84050,1108,True,-0.8568748235702515
99,83248,1109,True,-0.9114580750465393
100,83137,1110,True,-0.9656143188476562
101,84571,1111,True,-1.0166444778442383
102,83085,1112,True,-1.0674688816070557
103,83338,1113,True,-1.1145856380462646
104,83850,1114,True,-1.1540170907974243
