index,latency_ns,revision,revision_present,output_probe
0,85264,1000,True,-0.9656143188476562
1,83860,1000,True,-1.0166444778442383
2,82089,1000,True,-1.0674688816070557
3,81752,1000,True,-1.1145856380462646
4,82563,1000,True,-1.1540170907974243
5,82225,1000,True,-1.1885720491409302
6,82530,1000,True,-1.2167845964431763
7,82049,1000,True,-1.242681860923767
8,94843,1000,True,-1.2677175998687744
9,84430,1000,True,-1.2885178327560425
10,82483,1000,True,-1.3059388399124146
11,82371,1000,True,-1.3188451528549194
12,82425,1000,True,-1.3303632736206055
13,81753,1000,True,-1.340039610862732
14,82099,1000,True,-1.3480418920516968
15,82736,1000,True,-1.3517463207244873
16,82310,1000,True,-1.3540152311325073
17,84211,1000,True,-1.3519519567489624
18,84471,1000,True,-1.345444679260254
19,82401,1000,True,-1.3378039598464966
20,82823,1000,True,-1.3292657136917114
21,82144,1000,True,-1.3176777362823486
22,81688,1000,True,-1.3030309677124023
23,82885,1000,True,-1.2819935083389282
24,395437,1000,True,-1.2562748193740845
25,82281,1000,True,-1.2276681661605835
26,82420,1000,True,-1.1929657459259033
27,81463,1000,True,-1.1496286392211914
28,81764,1000,True,-1.0950809717178345
29,81092,1000,True,-1.0278855562210083
30,82267,1000,True,-0.9542962312698364
31,82046,1000,True,-0.8665689826011658
32,81599,1000,True,-0.7609890699386597
33,81414,1000,True,-0.6263324022293091
34,82278,1000,True,-0.4613550007343292
35,82087,1000,True,-0.2747792899608612
36,81948,1000,True,-0.08334271609783173
37,82159,1000,True,0.09975647181272507
38,82879,1000,True,0.27296188473701477
39,82485,1000,True,0.4357767403125763
40,30211099,1000,True,-0.24028226733207703
41,90448,1000,True,-0.30693739652633667
42,85876,1000,True,-0.3863624334335327
43,86338,1000,True,-0.4736209511756897
44,83830,1000,True,-0.5607803463935852
45,83224,1000,True,-0.6450552940368652
46,83391,1000,True,-0.7227338552474976
47,83177,1000,True,-0.7925189733505249
48,84852,1000,True,-0.8568748235702515
49,82699,1000,True,-0.9114580750465393
50,83390,1000,True,-0.9656143188476562
51,83115,1000,True,-1.0166444778442383
52,83024,1000,True,-1.0674688816070557
53,84775,1000,True,-1.1145856380462646
54,83913,1000,True,-1.1540170907974243
55,82753,1000,True,-1.1885720491409302
56,83023,1000,True,-1.2167845964431763
57,83508,1000,True,-1.242681860923767
58,83369,1000,True,-1.2677175998687744
59,82139,1000,True,-1.2885178327560425
60,83219,1000,True,-1.3059388399124146
61,83205,1000,True,-1.3188451528549194
62,83462,1000,True,-1.3303632736206055
63,83985,1000,True,-1.340039610862732
64,84624,1000,True,-1.3480418920516968
65,82719,1000,True,-1.3517463207244873
